ASP.NET Core 2.0,Commit,11460,CVE-2018-0808,ASP.NET Core Denial of Service Vulnerability
Windows 10 Version 1703 for 32-bit Systems,4088782,10951,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1703 for x64-based Systems,4088782,10952,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4088776,11453,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1709 for x64-based Systems,4088776,11454,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server, version 1709  (Server Core Installation),4088776,11466,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,4088786,10729,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 10 for x64-based Systems,4088786,10735,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1511 for 32-bit Systems,4088779,10789,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1511 for x64-based Systems,4088779,10788,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4088787,10852,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 10 Version 1607 for x64-based Systems,4088787,10853,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2016,4088787,10816,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2016  (Server Core installation),4088787,10855,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4088875,10047,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4088878,10047,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 7 for x64-based Systems Service Pack 1,4088875,10048,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 7 for x64-based Systems Service Pack 1,4088878,10048,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4088876,10481,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4088879,10481,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 8.1 for x64-based systems,4088876,10482,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows 8.1 for x64-based systems,4088879,10482,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows RT 8.1,4088876,10484,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2,4089344,9312,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 for 32-bit Systems Service Pack 2 (Server Core installation),4089344,10287,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 for Itanium-Based Systems Service Pack 2,4089344,9311,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 for x64-based Systems Service Pack 2,4089344,9318,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 for x64-based Systems Service Pack 2 (Server Core installation),4089344,9344,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,4088875,10050,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 R2 for Itanium-Based Systems Service Pack 1,4088878,10050,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1,4088875,10051,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1,4088878,10051,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),4088875,10049,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2008 R2 for x64-based Systems Service Pack 1 (Server Core installation),4088878,10049,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012,4088877,10378,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012,4088880,10378,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012 (Server Core installation),4088877,10379,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012 (Server Core installation),4088880,10379,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012 R2,4088876,10483,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012 R2,4088879,10483,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012 R2 (Server Core installation),4088876,10543,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server 2012 R2 (Server Core installation),4088879,10543,CVE-2018-0811,Windows Kernel Information Disclosure Vulnerability
Windows Server, version 1709  (Server Core Installation),4088776,11466,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4088786,10729,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows 10 for x64-based Systems,4088786,10735,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows 10 Version 1511 for 32-bit Systems,4088779,10789,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows 10 Version 1511 for x64-based Systems,4088779,10788,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4088787,10852,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows 10 Version 1607 for x64-based Systems,4088787,10853,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows Server 2016,4088787,10816,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows Server 2016  (Server Core installation),4088787,10855,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4088875,10047,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4088878,10047,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
Windows 7 for x64-based Systems Service Pack 1,4088875,10048,CVE-2018-0816,Windows GDI Elevation of Privilege Vulnerability
