Azure Stack,Release Notes,11710,CVE-2019-1234,Azure Stack Spoofing Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4525237,11497,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4525237,11497,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1803 for x64-based Systems,4525237,11498,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1803 for x64-based Systems,4525237,11498,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server, version 1803  (Server Core Installation),4525237,11499,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server, version 1803  (Server Core Installation),4525237,11499,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1803 for ARM64-based Systems,4525237,11563,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1803 for ARM64-based Systems,4525237,11563,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4523205,11568,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4523205,11568,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1809 for x64-based Systems,4523205,11569,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1809 for x64-based Systems,4523205,11569,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1809 for ARM64-based Systems,4523205,11570,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1809 for ARM64-based Systems,4523205,11570,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server 2019,4523205,11571,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server 2019,4523205,11571,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server 2019  (Server Core installation),4523205,11572,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server 2019  (Server Core installation),4523205,11572,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4525241,11453,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1709 for 32-bit Systems,4525241,11453,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1709 for x64-based Systems,4525241,11454,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1709 for x64-based Systems,4525241,11454,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1709 for ARM64-based Systems,4525241,11583,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1709 for ARM64-based Systems,4525241,11583,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1903 for 32-bit Systems,4524570,11644,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1903 for 32-bit Systems,4524570,11644,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1903 for x64-based Systems,4524570,11645,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1903 for x64-based Systems,4524570,11645,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1903 for ARM64-based Systems,4524570,11646,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1903 for ARM64-based Systems,4524570,11646,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server, version 1903 (Server Core installation),4524570,11647,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server, version 1903 (Server Core installation),4524570,11647,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4525236,10852,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4525236,10852,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1607 for x64-based Systems,4525236,10853,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows 10 Version 1607 for x64-based Systems,4525236,10853,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server 2016,4525236,10816,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server 2016,4525236,10816,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
Windows Server 2016  (Server Core installation),4525236,10855,CVE-2019-1374,Windows Error Reporting Elevation of Privilege Vulnerability
