Azure Sphere,Release Notes,11796,CVE-2020-16970,Azure Sphere Unsigned Code Execution Vulnerability
Microsoft SharePoint Enterprise Server 2016,4486717,10950,CVE-2020-16979,Microsoft SharePoint Information Disclosure Vulnerability
Microsoft SharePoint Enterprise Server 2016,4486717,10950,CVE-2020-16979,Microsoft SharePoint Information Disclosure Vulnerability
Microsoft SharePoint Server 2019,4486714,11585,CVE-2020-16979,Microsoft SharePoint Information Disclosure Vulnerability
Microsoft SharePoint Server 2019,4486714,11585,CVE-2020-16979,Microsoft SharePoint Information Disclosure Vulnerability
Microsoft SharePoint Foundation 2013 Service Pack 1,4486733,10612,CVE-2020-16979,Microsoft SharePoint Information Disclosure Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 10 Version 20H2 for x64-based Systems,4586781,11800,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 10 Version 1607 for 32-bit Systems,4586830,10852,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586827,10047,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 7 for 32-bit Systems Service Pack 1,4586805,10047,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586845,10481,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 8.1 for 32-bit systems,4586823,10481,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows Server 2012,4586834,10378,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows Server 2012,4586808,10378,CVE-2020-16997,Remote Desktop Protocol Server Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,4586785,11497,CVE-2020-16998,DirectX Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-16998,DirectX Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,4586793,11568,CVE-2020-16998,DirectX Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-16998,DirectX Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,4586786,11712,CVE-2020-16998,DirectX Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-16998,DirectX Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,4586781,11766,CVE-2020-16998,DirectX Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,4586787,10729,CVE-2020-16998,DirectX Elevation of Privilege Vulnerability
