Azure DevOps Server 2019.0.1,Release Notes,11675,CVE-2021-27067,Azure DevOps Server and Team Foundation Server Information Disclosure Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1909 for 32-bit Systems,5001337,11712,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 2004 for 32-bit Systems,5001330,11766,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 10 for 32-bit Systems,5001340,10729,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1607 for 32-bit Systems,5001347,10852,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001382,10481,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 8.1 for 32-bit systems,5001393,10481,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows Server 2012,5001387,10378,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows Server 2012,5001383,10378,CVE-2021-27072,Win32k Elevation of Privilege Vulnerability
Windows 10 Version 1803 for 32-bit Systems,5001339,11497,CVE-2021-27079,Windows Media Photo Codec Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27079,Windows Media Photo Codec Information Disclosure Vulnerability
Windows 10 Version 1809 for 32-bit Systems,5001342,11568,CVE-2021-27079,Windows Media Photo Codec Information Disclosure Vulnerability
